iter	Passed	Remaining
551	31226	25343
552	31255	25264
553	31284	25185
554	31314	25108
555	31346	25032
556	31391	24966
557	31427	24893
558	31467	24825
559	31499	24749
560	31532	24675
561	31562	24598
562	31705	24609
563	31840	24614
564	31875	24541
565	31912	24469
566	31947	24396
567	31980	24323
568	32020	24254
569	32052	24180
570	32088	24108
571	32126	24038
572	32164	23969
573	32202	23899
574	32241	23830
575	32278	23760
576	32316	23691
577	32351	23619
578	32385	23548
579	32419	23476
580	32459	23408
581	32547	23375
582	32681	23376
583	32759	23335
584	32793	23264
585	32835	23197
586	32865	23123
587	33003	23124
588	33059	23068
589	33094	22997
590	33189	22968
591	33246	22912
592	33285	22845
593	33321	22775
594	33356	22704
595	33390	22633
596	33424	22563
597	33459	22493
598	33494	22422
599	33626	22417
600	33689	22366
601	33723	22295
602	33841	22280
603	33900	22226
604	33932	22153
605	33968	22085
606	34000	22013
607	34035	21943
608	34066	21871
609	34100	21802
610	34136	21733
611	34179	21669
612	34243	21618
613	34341	21589
614	34387	21527
615	34445	21472
616	34620	21490
617	34683	21438
618	34711	21365
619	34748	21297
620	34787	21231
621	34823	21162
622	34857	21093
623	34892	21024
624	34919	20951
625	34955	20884
626	34986	20813
627	35021	20745
628	35050	20673
629	35130	20632
630	35217	20594
631	35299	20554
632	35458	20558
633	35550	20522
634	35603	20465
635	35637	20396
636	35678	20331
637	35721	20268
638	35876	20267
639	35947	20220
640	35980	20151
641	36025	20088
642	36072	20027
643	36130	19972
644	36158	19901
645	36184	19828
646	36214	19758
647	36244	19688
648	36271	19616
649	36427	19614
650	36494	19564
651	36521	19493
652	36548	19421
653	36597	19361
654	36633	19295
655	36666	19227
656	36693	19156
657	36739	19095
658	36777	19030
659	36919	19018
660	36992	18972
661	37026	18904
662	37063	18839
663	37095	18771
664	37131	18705
665	37167	18639
666	37206	18575
667	37245	18511
668	37285	18447
669	37323	18383
670	37364	18320
671	37432	18270
672	37477	18209
673	37510	18142
674	37550	18079
675	37581	18012
676	37616	17947
677	37698	17904
678	37817	17878
679	37852	17812
680	37882	17745
681	37919	17680
682	37947	17612
683	37981	17546
684	38012	17480
685	38061	17421
686	38097	17357
687	38129	17291
688	38163	17226
689	38205	17164
690	38233	17097
691	38266	17032
692	38301	16967
693	38343	16906
694	38403	16853
695	38541	16834
696	38622	16789
697	38660	16727
698	38712	16670
699	38744	16604
700	38777	16539
701	38819	16478
702	38858	16416
703	39003	16399
704	39069	16348
705	39112	16287
706	39152	16225
707	39197	16166
708	39357	16153
709	39438	16108
710	39527	16066
711	39612	16022
712	39647	15958
